formula,target
SrZr3N6,1.930860583572
Nd2As3Au,2.2630986366666668
Lu2CuAs3,2.4702846641666674
La2(SiIr)3,1.8856548637500001
Sm2CdSb3,1.9484758458333336
Nd2AgSb3,2.2035349399999995
Ho2AgSb3,2.3005301008333334
Nd2CuSb3,2.416042148333333
Pr2CuSb3,2.3471877808333335
Ho2CuAs3,2.4344560925
Lu2CuSb3,2.4915216475000004
Dy2CuSb3,2.451537814166667
Y2CuAs3,2.4155650375
Er2CuSb3,2.470772000833333
La2AgAs3,2.112086165833333
Tm2CuSb3,2.480510209166667
Pr2Sb3Pd,2.369424324166667
Tb2CuSb3,2.4366530963888886
Tb2Sb3Pd,2.4697020647222216
Sm2Sb3Pd,2.4091617566666668
TlCdN3,1.8765378405720008
UP4,1.9708065582857153
U3N,1.672717536905001
TmGa6,1.613599757857143
WN6,2.163257789745715
U2AsS2,1.8365258013750008
Tb2ZnSn3,2.391362827222222
TbGa6,1.6021478130952382
RbCdN3,1.6494177895030346
RbRe,2.488548541077587
RbNa2C,1.551391801476293
Sm2Sb3Au,2.3137944249999998
Pr2Sb3Pd,2.379746779166666
Pr2CuSb3,2.3462736141666665
P(H2I)2,1.7689014854824496
NiC4,1.7269444545
U2GeS2,1.8750606333749986
Mn3AsN,1.6954806245240015
Mo(Se2N)2,1.548001160123572
Mg2CuAs2,2.1720315260000005
Mg2MnGe2,2.4010299340000003
KCdN3,1.6451079699720004
Sr2MnSn2,2.1047726260000004
InC6,2.380906934880952
La2AgSb3,2.125980825833333
Li7Al6,1.6046920584615383
LiPH2S3N7,1.6498795801264035
Pr2(CuSn)3,1.7182801356250001
GaC6,2.2665239653571425
Fe(CuC6)2,1.9992391723333336
CsLaW2,2.3416908621982753
CuN5,1.5649429188500008
CuPt3,2.3734815200000003
ErGa6,1.6098125964285714
Ca2MnSi2,2.3848471439999996
Ca2MnSi2,1.822835966
AuC2,1.5802622941666666
AlC6,1.9843471425
Cd(N2Cl)6,1.6876804303621056
Ag12SI,1.5870723725669644
